bgg_id,title,year_published,game_weight,avg_rating,min_players,max_players,num_owned,num_want,num_wish,mfg_playtime,com_min_playtime,com_max_playtime,mfg_age_rec,num_user_ratings
192135,Too Many Bones,2017,4,8.4,1,4,11492,1374,8016,120,60,120,12,7655
192153,Pandemic: Reign of Cthulhu,2016,2,7.4,2,4,15660,313,2395,40,40,40,14,8560
192185,Matryoshka,2016,2,6.6,3,5,1377,26,134,20,20,20,8,610
192201,Wiener Walzer,2016,2,6.4,2,5,101,12,22,45,45,45,8,66
192203,Millions: The Last Soldier,2015,2,6.8,2,5,160,0,13,25,15,25,8,83
192225,Pickle Letter,2016,1,5.2,2,5,99,0,4,20,20,20,7,47
192226,Showdown,2016,1,6.5,3,8,126,3,14,45,45,45,12,52
192233,Karibou Camp,2016,1,5.8,3,7,128,2,20,20,20,20,8,43
192235,Difference Junior,2016,1,6.3,2,6,102,0,4,20,20,20,4,40
192237,Specific,2016,1,5.9,2,10,130,1,11,20,20,20,6,54
192240,Control,2016,2,6.5,2,4,1838,13,183,15,5,15,10,756
192245,Shadow Master,2016,0,5.8,3,6,56,2,11,0,40,0,8,37
192268,Cool am Pool,2016,1,6.3,2,4,80,2,11,40,0,40,8,48
192274,Bethel Woods,2016,2,6.8,2,4,388,28,135,40,40,40,12,172
192275,Olympians War,2016,2,5.9,2,6,108,0,10,30,15,30,8,61
192283,Emojito!,2016,1,6,2,14,274,2,51,30,30,30,7,154
192286,SOL,2016,2,6.2,2,8,466,24,163,60,30,60,10,268
192288,Kido Butai: Japan's Carriers at Midway,2016,2,7.3,1,1,237,27,80,90,30,90,12,85
192291,Sushi Go Party!,2016,1,7.4,2,8,45391,477,4708,20,20,20,8,25396
192296,The Pirate Republic,2018,3,7.4,1,5,683,97,417,90,60,90,14,215
192297,America,2016,1,6.8,2,6,900,41,163,45,45,45,13,650
192311,Fast & Fhtagn,2016,2,5.2,3,6,209,1,22,90,45,90,13,39
192312,Mr. Cabbagehead's Garden,2016,2,7.2,1,2,1875,97,508,20,10,20,10,701
192315,Widower's Wood: An Iron Kingdoms Adventure Board Game,2017,4,7.1,2,4,571,21,93,120,60,120,14,99
192320,Rory's Story Cubes: Doctor Who,2016,0,7,1,99,310,12,67,10,10,10,10,58
